open_mower_ros  | [ERROR] [1776133935.346399021]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133949.290326161]: [driver_gps] waited 14 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133955.397130805]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133963.241887152]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134023.308632320]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134034.192355536]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134054.279325802]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134068.203074219]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134085.344142728]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134089.333343003]: [driver_gps] waited 14 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134105.377214771]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776134141.628053157]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776134152.036920003]: NTRIP: connection attempt 30
open_mower_ros  | [ERROR] [1776134185.927875316]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134193.156150867]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134198.189218364]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134205.329311934]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134207.639038322]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134222.036390480]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134223.523950775]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134225.427996163]: [driver_gps] waited 15 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134258.064983069]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134264.502440639]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776134321.657201494]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776134331.064210359]: NTRIP: connection attempt 31
open_mower_ros  | [ERROR] [1776134383.468333439]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134401.378046484]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134415.613799105]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134435.743951260]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134474.686739959]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776134495.393575391]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
