open_mower_ros  | [INFO] [1781530170.199688433]: FTCLocalPlannerROS: Got new global plan with 20 points.
open_mower_ros  | [INFO] [1781530170.199773135]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1781530170.199804504]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1781530170.643695827]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=0.465848
open_mower_ros  | [INFO] [1781530176.593542106]: Got a voltage of 34.666 V. Cancelling docking.
open_mower_ros  | [WARN] [1781530177.593958934]: FTCLocalPlannerROS: FTC planner was cancelled.
open_mower_ros  | [INFO] [1781530177.593891139]: Cancel action "exe_path"
open_mower_ros  | [INFO] [1781530177.594340480]: Controller will take care of stopping
open_mower_ros  | [INFO] [1781530177.595951347]: new actions registered: mower_logic:docking registered 1 actions.
open_mower_ros  | [INFO] [1781530177.596491482]: successfully registered actions for mower_logic:docking
open_mower_ros  | [INFO] [1781530177.596662570]: 
open_mower_ros  | [INFO] [1781530177.596686162]: 
open_mower_ros  | [INFO] [1781530177.596703754]: --------------------------------------
open_mower_ros  | [INFO] [1781530177.596719420]: - Entered state: IDLE
open_mower_ros  | [INFO] [1781530177.596733865]: --------------------------------------
open_mower_ros  | [INFO] [1781530177.599213840]: new actions registered: mower_logic:idle registered 2 actions.
open_mower_ros  | [INFO] [1781530177.599933359]: successfully registered actions for mower_logic:idle
open_mower_ros  | [INFO] [1781530177.601603151]: Got getMowingArea call with index: 0
open_mower_ros  | [INFO] [1781530177.603204889]: Getting Docking Point
open_mower_ros  | [INFO] [1781530177.605636328]: successfully set GPS to 0
open_mower_ros  | [INFO] [1781530180.643690646]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=10.4658
open_mower_ros  | [INFO] [1781530190.643697723]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=20.4658
open_mower_ros  | [INFO] [1781530200.643688988]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=30.4658
open_mower_ros  | [INFO] [1781530210.643703029]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=40.4659
open_mower_ros  | [INFO] [1781530220.643695690]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=50.4658
Mosquitto       | 1781530226: Client mqttjs_0c668559 [172.19.0.1:60496] disconnected: connection closed by client.
open_mower_ros  | [INFO] [1781530230.643692639]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=60.4658
open_mower_ros  | [INFO] [1781530240.643701072]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=70.4659
open_mower_ros  | [INFO] [1781530250.643697869]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=80.4658
open_mower_ros  | [INFO] [1781530260.643701031]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=90.4659
open_mower_ros  | [INFO] [1781530270.643700941]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=100.466
open_mower_ros  | [INFO] [1781530280.643696386]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=110.466
Mosquitto       | 1781530289: Client mqttjs_a7e84fa0 [192.168.0.114:59778] disconnected: connection closed by client.
Mosquitto       | 1781530289: New connection from 192.168.0.159:50668 on port 9001.
Mosquitto       | 1781530289: New client connected from 192.168.0.159:50668 as mqttjs_0c668559 (p4, c1, k60).
Mosquitto       | 1781530290: New connection from 192.168.0.114:61167 on port 9001.
Mosquitto       | 1781530290: New client connected from 192.168.0.114:61167 as mqttjs_568c9ef4 (p4, c1, k60).
Mosquitto       | 1781530290: Client xbot_monitoring [172.19.0.1:59404] disconnected: oversize packet.
open_mower_ros  | [2026-06-15 13:31:29] [error] handle_read_frame error: websocketpp.transport:7 (End of File)
open_mower_ros  | [2026-06-15 13:31:29] [control] Control frame received with opcode 8
open_mower_ros  | [2026-06-15 13:31:29] [frame_header] Dispatching write containing 1 message(s) containing 2 header bytes and 2 payload bytes
open_mower_ros  | [2026-06-15 13:31:29] [frame_header] Header Bytes: 
open_mower_ros  | [0] (2) 88 02 
open_mower_ros  | 
open_mower_ros  | [2026-06-15 13:31:29] [disconnect] Disconnect close local:[1006,End of File] remote:[1001]
open_mower_ros  | [2026-06-15 13:31:29] [connect] WebSocket Connection [::ffff:192.168.0.159]:50667 v13 "Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/149.0.7827.137 Mobile/15E148 Safari/604.1" / 101
open_mower_ros  | [2026-06-15 13:31:30] [connect] WebSocket Connection [::ffff:192.168.0.114]:53161 v13 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" / 101
open_mower_ros  | [INFO] [1781530290.643689075]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=120.466
Mosquitto       | 1781530293: New connection from 172.19.0.1:53006 on port 1883.
Mosquitto       | 1781530294: New client connected from 172.19.0.1:53006 as xbot_monitoring (p4, c1, k1000).
open_mower_ros  | [INFO] [1781530294.236711454]: MQTT Connected
open_mower_ros  | [INFO] [1781530300.643699948]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=130.466
open_mower_ros  | [2026-06-15 13:31:49] [info] asio async_read_at_least error: system:104 (Connection reset by peer)
open_mower_ros  | [2026-06-15 13:31:49] [error] handle_read_frame error: websocketpp.transport:2 (Underlying Transport Error)
open_mower_ros  | [2026-06-15 13:31:49] [disconnect] Disconnect close local:[1006,Underlying Transport Error] remote:[1006]
Mosquitto       | 1781530309: Client mqttjs_0c668559 [192.168.0.159:50668] disconnected: connection closed by client.
open_mower_ros  | [INFO] [1781530310.643703907]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=140.466
open_mower_ros  | [INFO] [1781530320.643699106]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=150.466
