mowgli-openmower | [WARN] [1726489446.600973]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489446.607990]: Expected Checksum: 0x0
mowgli-openmower | [ WARN] [1726489446.611093227]: got vx > 0.6 (-1.59867) - dropping measurement
mowgli-openmower | [WARN] [1726489446.615439]: Actual Checksum:   0x777030
mowgli-openmower | [ WARN] [1726489446.631845598]: got vx > 0.6 (-1.54244) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.652358748]: got vx > 0.6 (-1.48986) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.673842742]: got vx > 0.6 (-1.44307) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.696378415]: got vx > 0.6 (-1.39268) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.718072445]: got vx > 0.6 (-1.34975) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.737102513]: got vx > 0.6 (-1.31427) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.757791940]: got vx > 0.6 (-1.2776) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.780208632]: got vx > 0.6 (-1.23972) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.801133649]: got vx > 0.6 (-1.20704) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.823010715]: got vx > 0.6 (-1.17401) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.844541803]: got vx > 0.6 (-1.14325) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.864035534]: got vx > 0.6 (-1.11471) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.884771478]: got vx > 0.6 (-1.08748) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.906489046]: got vx > 0.6 (-1.06094) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.926948826]: got vx > 0.6 (-1.03973) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.946873073]: got vx > 0.6 (-1.01588) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.967614147]: got vx > 0.6 (-0.99372) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.987415598]: got vx > 0.6 (-0.973496) - dropping measurement
