mowgli-openmower            |   x: 0
mowgli-openmower            |   y: 0
mowgli-openmower            |   z: -0.20292
mowgli-openmower            |   w: 0.979195
mowgli-openmower            |
mowgli-openmower            | [ INFO] [1697220818.654389853]: MowingBehavior: (MOW) First point reached - Executing mow path with 789 poses
mowgli-openmower            | [ INFO] [1697220818.681336325]: MowingBehavior: (MOW) Progress: 201/789
mowgli-openmower            | [ INFO] [1697220818.687698912]: FTCLocalPlannerROS: Got new global plan with 789 points.
mowgli-openmower            | [ INFO] [1697220818.689299040]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower            | [ INFO] [1697220818.689454243]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower            | [ WARN] [1697220818.708723113]: #### om_mower_logic: setMowerEnabled(1, 0) call
mowgli-openmower            | [ INFO] [1697220818.723659524]: successfully set mower enabled to 1 (direction 0)
mowgli-openmower            | [ WARN] [1697220818.723803449]: #### om_mower_logic: setMowerEnabled(1, 0) call completed within 0.0151251s
mowgli-openmower            | [ INFO] [1697220823.661466025]: MowingBehavior: (MOW) Progress: 7/789
mowgli-openmower            | [ INFO] [1697220825.709103053]: GPS quality: 0.907805
mowgli-openmower            | [ INFO] [1697220828.662028353]: MowingBehavior: (MOW) Progress: 17/789
mowgli-openmower            | [ INFO] [1697220833.759972583]: MowingBehavior: (MOW) Progress: 31/789
mowgli-openmower            | [ INFO] [1697220836.208701207]: GPS quality: 0.904475
mowgli-openmower            | [ INFO] [1697220838.767052262]: MowingBehavior: (MOW) Progress: 41/789
mowgli-openmower            | [ INFO] [1697220843.861541017]: MowingBehavior: (MOW) Progress: 51/789
mowgli-openmower            | [ INFO] [1697220846.208713263]: GPS quality: 0.901005
mowgli-openmower            | [ INFO] [1697220848.862597149]: MowingBehavior: (MOW) Progress: 56/789
mowgli-openmower            | [ INFO] [1697220853.960656468]: MowingBehavior: (MOW) Progress: 63/789
mowgli-openmower            | [ INFO] [1697220856.708640787]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220858.962324144]: MowingBehavior: (MOW) Progress: 71/789
mowgli-openmower            | [ INFO] [1697220864.059893328]: MowingBehavior: (MOW) Progress: 79/789
mowgli-openmower            | [ INFO] [1697220866.708729966]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220869.061877994]: MowingBehavior: (MOW) Progress: 87/789
mowgli-openmower            | [ INFO] [1697220874.162920028]: MowingBehavior: (MOW) Progress: 95/789
