# Attachments whose bytes differ from the copy originally archived in Git LFS.
# Discord re-encodes attachments, so these are the same file in a different
# encoding, not corrupt data; all of them decode cleanly. The Git LFS original
# is no longer reachable, so the copy recorded here is the surviving one.
#path	expectedOid	actualOid	expectedSize	actualSize
1263930527170166794/1264310672209088613-IMG_3907.jpg	54c23a268f7c16d1c4caac3775814d065333646213f2e454548753a4cb2934de	d9784e00a6840f0b98f92e7394bafa0a18e55b62f4e028f9cc8566be0544ee5e	3447119	4038003
1286695015292080229/1524003449123901582-image.png	4f0b99121ff2aeb233c15bf48fb3fd0c85f376b6ad9f32c2d89a7b1aafc642f4	ba67d4b642ceaf830faab578e5959b6cbd6d6858f882afafda31d69f5386df8f	67208	66989
1302759794330960005/1367961413770809384-image.jpg	b6850976eb224c04140e9ae613835e3dbb4caa297446f4482634f00d1f794cab	565bbaf1080a0def335cbff724644a32be3777d4edb83ea7332c478627b3a9aa	2130349	2626843
1302759794330960005/1390997405414981743-rn_image_picker_lib_temp_25f1a3cc-c183-4f6f-a493-efef978e37b8.jpg	21b5d760efdc5a2c9b4fa310167b8639777ec755df30b9e44679c000c8619cc7	f7ea113253b909156a2feb447a175338483f23c0f35b312e4e84c8cf5fb9e8ad	1083766	1520121
1302759794330960005/1409093221891444786-IMG_1538.jpg	6391cbed46766ce357809c78a1520d644038316dd45a906611a1126fac27fa03	fcaae66aab4414a481dd27dd08c24656e79cd2bd97afab31a64b46abd46bca14	3614783	4542946
1302759794330960005/1409093222516527125-IMG_1537.jpg	75061ffd98bb33de2ce7e9be1a04783b19542440d46db252d58e90e9ec36b06f	7720e4bf87a94fd6b3468bd7f51d50cd92cbd8a8b7778288c16417dd0ca4ddf7	3399367	4175482
1302759794330960005/1434485329972170774-IMG_0117.png	0ab4513c08f9c7cc10a1b2af3487f20ba28be84db2ccd9f14330db60e78d5689	3b5a16e5e1bff39c3d6e33e18f8060f82f8ca50cd383fa66a19477fbe96dc940	2453259	2449530
1302759794330960005/1478381634201063504-IMG_1896.png	a3afec7ab8e50cc69db2b8ecaedd88ed61828700802d498573c653ef845bc0db	02ae95935e5e0b24b0039db9c6994a5d7e84ac59f27d3ffdd8d2a19c49270abe	744157	742970
1302759794330960005/1533187484568256643-image.png	422158d30fe6ff69846013fcd99ca62f4503c0a05894a4f3aaf12c8cfb32984b	c88e723755a4449d68e721181c8de0b2544560f9991e711f0f55c4697abc0b2f	153271	153034
1302759794330960005/1533204272827732178-image.png	c99c01b9a4f8311b428f3f000f80dbe031e17661f516c19b98af470a28d46cb3	cc3fe7b6e5274bc70f3727006b1398a72b8339c42c42379dcc5d6df4472eed83	189304	188863
1302759794330960005/1533537713960255578-image.png	3c4d41ab6a0d9dbd8260ff0bc30b10ace7f1b5b240e784d9f5c2037c0355ff53	398bd82f56895c3bada10ac79ab0b0b63a363e6d8a515615ca6004b17992da25	246757	246384
1302759794330960005/1535253772987539516-image.png	b8cdf353484d256b772c66e12286118b9e408556840c282acd79624b411b89a3	d760224ad1eee0cbeb454588cbba1166d99cb5e5211c680d3069a8bdc87b3b29	218793	218472
1323664553992519682/1323665026971734097-IMG_4616.jpg	0157aaf73659c2d6403a526ffc65e5ed025c93bce57cba19d7717d3c9146c989	5abe7400925378eb0023c8196c1954bf0b1172b8a7eecb75a5ab2b23470dc16f	3541399	4886667
1323664553992519682/1323665027647143966-IMG_4617.jpg	e3a8350df37163ee65f526d54f6f61175b581e61d0bd2b12889e9c1bda21dd80	98cce8360e9dfa21133eaae882d18a6c4072b9d28db9d285e4c8222372c31d48	2888079	3601913
