sfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398342.858789298]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398343.358980878]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398343.358891676]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398343.770667120]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398343.858916835]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398343.859117775]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398344.358737928]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398344.358823556]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398344.770652465]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398344.858946588]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398344.858851405]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398345.358643892]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398345.358729631]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398345.770645765]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398345.858752929]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398345.858667524]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398346.363849645]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398346.363948106]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398346.770608093]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398346.858977272]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398346.859064955]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398347.358890137]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398347.358805768]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398347.770577857]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398347.858627488]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398347.858711079]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398348.358692595]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398348.358769445]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398348.771456001]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398348.858920922]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398348.858833683]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398349.358719892]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398349.358806279]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398349.771639762]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398349.858640360]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398349.858725173]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398350.358833363]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398350.358912491]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398350.771714590]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398350.859228122]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398350.859032034]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398351.361562438]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398351.361722175]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398351.771716947]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398351.859208814]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398351.859328793]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398352.358818394]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398352.358902819]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398352.771692444]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398352.859193831]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398352.859290440]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398353.358842674]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398353.358925968]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398353.771681136]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398353.859345242]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398353.859253521]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398354.359400507]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398354.359832610]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398354.771656244]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398354.858990062]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398354.858891656]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398355.358712376]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398355.359087627]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398355.771668917]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398355.858811128]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398355.858895441]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398356.358912217]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398356.358832163]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398356.771920354]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398356.860059897]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398356.860307966]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398357.359014181]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398357.359094013]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398357.771600960]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398357.858713006]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398357.858801949]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398358.358827956]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398358.358908047]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398358.771852285]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398358.859370121]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398358.859256049]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398359.358685962]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398359.358769923]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398359.771925254]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398359.858784455]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398359.858874138]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398360.359107984]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398360.358997746]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398360.771910640]: >>> [ID=5] Unable to Configure Charger
